ParticipantID,TrialID,Label,Device,Time,AccelerationX,AccelerationY,AccelerationZ,RotationRateX,RotationRateY,RotationRateZ
1,1,hand right,Both,2023/04/1420:00:06.826,-0.013825477100908800,-0.01766560785472390,-0.017148006707429900,0.046342965215444600,0.009011020883917810,0.06613902747631070
1,1,hand right,Both,2023/04/1420:00:06.866,-0.009727001190185550,-0.01417829655110840,-1.95787288248539E-05,0.025746803730726200,0.024552397429943100,0.01823841966688630
1,1,hand right,Both,2023/04/1420:00:06.906,-0.0008531325729563830,-0.0008158250711858270,-0.008259830996394160,0.01738828420639040,0.06049187481403350,-0.03340274095535280
1,1,hand right,Both,2023/04/1420:00:06.944,-0.00697994465008378,-0.016565870493650400,-0.025468533858656900,0.021090824156999600,0.01382395625114440,-0.031023111194372200
1,1,hand right,Both,2023/04/1420:00:06.982,-0.01735345646739010,-0.014051420614123300,-0.0049019018188118900,0.04553394392132760,-0.04430045560002330,0.009371085092425350
1,1,hand right,Both,2023/04/1420:00:07.025,-0.007235101889818910,-0.004938644822686910,0.010587284341454500,0.021888598799705500,-0.019876383244991300,0.012171993032097800
1,1,hand right,Both,2023/04/1420:00:07.064,-0.018245114013552700,0.002887294627726080,0.008065023459494110,-0.038657236844301200,-0.013453244231641300,0.014327391982078600
1,1,hand right,Both,2023/04/1420:00:07.107,-0.01304985024034980,0.0013236496597528500,0.020614301785826700,-0.02217685803771020,-0.017343850806355500,0.00215628813020885
1,1,hand right,Both,2023/04/1420:00:07.146,-0.014636935666203500,0.006866542622447010,0.009954877197742460,-0.04779547452926640,0.04385889694094660,-0.027336454018950500
1,1,hand right,Both,2023/04/1420:00:07.186,-0.001981658162549140,0.00739461462944746,0.013444884680211500,-0.034158457070589100,0.0700465589761734,-0.047957681119442000
1,1,hand right,Both,2023/04/1420:00:07.225,-0.0042229508981108700,0.009554014541208740,0.0015707900747656800,-0.028586963191628500,0.09348411113023760,-0.10996322333812700
1,1,hand right,Both,2023/04/1420:00:07.264,0.0008061628905124960,-0.004316280595958230,-0.0025434279814362500,0.026657257229089700,0.049449555575847600,-0.14895965158939400
1,1,hand right,Both,2023/04/1420:00:07.304,0.006079387851059440,-0.006717709358781580,-0.006545590236783030,0.04931934177875520,0.0784895047545433,-0.19180835783481600
1,1,hand right,Both,2023/04/1420:00:07.344,0.00037566572427749600,-0.03069275990128520,-0.025410251691937400,0.07196524739265440,0.019710861146450000,-0.14862380921840700
1,1,hand right,Both,2023/04/1420:00:07.384,-0.012099885381758200,-0.04810429364442830,-0.020439140498638200,0.05490420386195180,-0.003979668021202090,-0.13782507181167600
1,1,hand right,Both,2023/04/1420:00:07.427,-0.021661192178726200,-0.06731158494949340,-0.01674625836312770,0.0632786974310875,-0.02881714142858980,-0.0480259507894516
1,1,hand right,Both,2023/04/1420:00:07.466,-0.027754155918955800,-0.031403765082359300,-0.0019982894882559800,-0.02788749523460870,0.019662290811538700,0.005787653848528860
1,1,hand right,Both,2023/04/1420:00:07.526,-0.0251767598092556,-0.03478654846549030,-0.00181492418050766,-0.06688198447227480,-0.019211042672395700,0.08639414608478550
1,1,hand right,Both,2023/04/1420:00:07.565,-0.020876724272966400,-0.001602620119228960,-0.011771448887884600,-0.0713137537240982,0.04265020042657850,0.0624992772936821
1,1,hand right,Both,2023/04/1420:00:07.604,-0.017089400440454500,0.014543648809194600,0.004023328423500060,-0.052689701318740800,0.005786534398794170,0.06721863150596620
1,1,hand right,Both,2023/04/1420:00:07.642,-0.00370741356164217,0.005972409155219790,0.0010630828328430700,-0.0657765120267868,-0.009403176605701450,0.03335456922650340
1,1,hand right,Both,2023/04/1420:00:07.684,-0.010698859579861200,-0.004833017475903030,-0.0011886118445545400,0.02415311150252820,-0.00819319486618042,0.0710538923740387
1,1,hand right,Both,2023/04/1420:00:07.723,-0.0024849483743310000,0.0080261817201972,0.0009648853447288280,-0.028118720278143900,-0.03030451200902460,0.06501263380050660
1,1,hand right,Both,2023/04/1420:00:07.765,-0.003562246449291710,0.012867692857980700,0.001406173687428240,-0.05377274751663210,0.01350826770067220,0.07926834374666210
1,1,hand right,Both,2023/04/1420:00:07.805,0.008557256311178210,0.01437640842050310,-0.0006873845122754570,-0.06301525980234150,0.00821567140519619,0.028327208012342500
1,1,hand right,Both,2023/04/1420:00:07.845,0.0018831698689609800,0.005367450416088100,-0.0002628143411129710,0.005733966827392580,0.015194753184914600,-0.01871917024254800
1,1,hand right,Both,2023/04/1420:00:07.885,0.004514323081821200,-0.00747828371822834,0.00662262225523591,0.03048776276409630,0.011820172891020800,-0.033643126487731900
1,1,hand right,Both,2023/04/1420:00:07.924,-0.0022994722239673100,-0.011737504042685000,-0.002182415686547760,0.008510286919772630,0.009244302287697790,-0.011490643955767200
1,1,hand right,Both,2023/04/1420:00:07.967,0.0005945358425378800,-0.016134224832058000,-0.00955191720277071,-0.028746087104082100,0.007201443891972300,0.00641434034332633
1,1,hand right,Both,2023/04/1420:00:08.003,-0.0037876134738326100,-0.001621027011424300,-0.013072875328362000,-0.04437463730573650,-0.04659648612141610,0.06576071679592130
1,1,hand right,Both,2023/04/1420:00:08.065,-0.008352872915565970,-0.005299055948853490,-0.0011539723491296200,-0.05845263972878460,-0.02037058398127560,0.05053842067718510
1,1,hand right,Both,2023/04/1420:00:08.084,-0.004362659063190220,0.014303751289844500,-0.007658818736672400,-0.018431443721056000,-0.018517732620239300,0.06307879835367200
