ParticipantID,TrialID,Label,Device,Time,AccelerationX,AccelerationY,AccelerationZ,RotationRateX,RotationRateY,RotationRateZ,MagneticFieldX,MagneticFieldY,MagneticFieldZ
1,1,hand right,Both,2023/04/1420:00:06.841,-0.0221773199737072,-0.03858467936515810,0.04557299613952640,-0.26641061902046200,0.05124562233686450,-0.06046502664685250,-10.796188354492200,-16.411781311035200,-38.59978485107420
1,1,hand right,Both,2023/04/1420:00:06.881,-0.051329609006643300,-0.017253074795007700,-0.02084636688232420,-0.3132026791572570,0.1041387990117070,-0.10605587065219900,-10.870407104492200,-16.059417724609400,-38.75811004638670
1,1,hand right,Both,2023/04/1420:00:06.921,-0.10912095755338700,-0.0443144366145134,-0.05611306428909300,-0.09899429976940160,0.008949360810220240,-0.2715541422367100,-10.24615478515630,-15.73864459991460,-38.87287139892580
1,1,hand right,Both,2023/04/1420:00:06.961,-0.1483445167541500,-0.06560218334198000,-0.10751676559448200,-0.058673758059740100,0.1451888531446460,-0.4160214066505430,-9.271453857421880,-15.2764892578125,-39.113258361816400
1,1,hand right,Both,2023/04/1420:00:07.001,-0.2789265513420110,-0.11706990003585800,-0.16086643934249900,0.10065854340791700,0.24409383535385100,-0.6534513831138610,-9.090225219726560,-14.515974044799800,-38.893821716308600
1,1,hand right,Both,2023/04/1420:00:07.041,-0.35109466314315800,-0.12919509410858200,-0.14828521013259900,0.3312309682369230,0.35417109727859500,-1.11161208152771,-8.776473999023440,-13.354239463806200,-39.183616638183600
1,1,hand right,Both,2023/04/1420:00:07.081,-0.43779343366622900,-0.14250420033931700,-0.18487775325775100,0.3671002984046940,0.3504715859889980,-1.5242021083831800,-9.1796875,-12.581369400024400,-39.628990173339800
1,1,hand right,Both,2023/04/1420:00:07.121,-0.5045889616012570,-0.06219063326716420,-0.17231827974319500,0.528084933757782,0.6114381551742550,-2.2075586318969700,-9.981903076171880,-12.801777839660600,-40.30828094482420
1,1,hand right,Both,2023/04/1420:00:07.161,-0.5057776570320130,0.015164047479629500,-0.2027372121810910,0.9928998947143560,0.4076465666294100,-2.5607852935791000,-10.858505249023400,-14.813894271850600,-39.80736541748050
1,1,hand right,Both,2023/04/1420:00:07.201,-0.5147954225540160,0.1369607001543050,-0.1519187092781070,1.4007363319397000,0.039274413138628000,-3.2016584873199500,-9.97174072265625,-19.006500244140600,-37.341758728027300
1,1,hand right,Both,2023/04/1420:00:07.241,-0.40725159645080600,0.25387006998062100,-0.11113035678863500,1.6219695806503300,-0.29364851117134100,-3.303558826446530,-5.67254638671875,-21.94171714782720,-34.18146514892580
1,1,hand right,Both,2023/04/1420:00:07.281,-0.38829323649406400,0.3437352180480960,-0.010438144207000700,1.6079460382461500,-0.45383524894714400,-3.544621706008910,-1.9473419189453100,-23.020793914794900,-33.65795135498050
1,1,hand right,Both,2023/04/1420:00:07.321,-0.31958675384521500,0.3568180799484250,-0.004453480243682860,1.3019294738769500,-0.6776922941207890,-3.510153293609620,1.6597900390625,-24.418834686279300,-35.06078338623050
1,1,hand right,Both,2023/04/1420:00:07.361,-0.2864103615283970,0.47184664011001600,-0.00953972339630127,1.41627037525177,-0.7487117052078250,-3.6640524864196800,4.334442138671880,-26.092105865478500,-35.65410614013670
1,1,hand right,Both,2023/04/1420:00:07.401,-0.1432158350944520,0.4722515642642980,0.031210005283355700,1.0026886463165300,-1.111646294593810,-3.473130226135250,6.470611572265630,-27.581138610839800,-35.95586395263670
1,1,hand right,Both,2023/04/1420:00:07.441,-0.0713685005903244,0.5334893465042110,-0.07470154762268070,0.9981279969215390,-0.9599676728248600,-3.298480272293090,8.518096923828130,-29.09491729736330,-35.886863708496100
1,1,hand right,Both,2023/04/1420:00:07.481,0.03519979119300840,0.4737860858440400,-0.006669878959655760,0.9407832026481630,-1.1895568370819100,-2.755880117416380,10.421890258789100,-29.888504028320300,-34.97583770751950
1,1,hand right,Both,2023/04/1420:00:07.521,0.026912659406662000,0.42677122354507400,-0.03218036890029910,0.9252774119377140,-1.3001136779785200,-2.7568516731262200,11.795028686523400,-30.183643341064500,-34.898582458496100
1,1,hand right,Both,2023/04/1420:00:07.561,0.10433369874954200,0.3020973205566410,0.04689234495162960,0.23252087831497200,-1.0253419876098600,-2.4581196308136000,13.2078857421875,-30.189743041992200,-34.485267639160200
1,1,hand right,Both,2023/04/1420:00:07.601,0.09882752597332000,0.3290393352508550,-0.02068084478378300,-0.10557133704423900,-0.39103883504867600,-2.430133581161500,15.306732177734400,-29.32352066040040,-34.686866760253900
1,1,hand right,Both,2023/04/1420:00:07.641,0.25263339281082200,0.25677162408828700,-0.03837043046951290,-0.017046013846993400,-0.6497694253921510,-2.0797598361969000,17.606765747070300,-28.18059730529790,-35.20294952392580
1,1,hand right,Both,2023/04/1420:00:07.681,0.31094178557395900,0.29718711972236600,-0.057097792625427200,0.2995440363883970,-0.6335457563400270,-1.8035192489624000,18.962188720703100,-26.722108840942400,-35.79985809326170
1,1,hand right,Both,2023/04/1420:00:07.721,0.40275222063064600,0.228238046169281,0.00031185150146484400,-0.16078495979309100,-0.5201606154441830,-1.1883552074432400,19.867477416992200,-26.264507293701200,-35.700523376464800
1,1,hand right,Both,2023/04/1420:00:07.761,0.3107460141181950,0.25420480966568000,-0.07995802164077760,-0.13927201926708200,0.025609377771616000,-0.7759093642234800,20.562545776367200,-25.243818283081100,-35.961814880371100
