ParticipantID,TrialID,Label,Device,Time,AccelerationX,AccelerationY,AccelerationZ,RotationRateX,RotationRateY,RotationRateZ
2,1,hand right,Both,2023/04/1515:08:48.862,-0.0077038332819938,-0.0280858241021633,0.0062253139913082,0.0174432434141636,0.0711749717593193,-0.00352050550282
2,1,hand right,Both,2023/04/1515:08:48.903,-0.0158009305596352,0.0041844327934086,-0.0023605055175721,0.0242035929113626,-0.0143725350499153,0.0395613349974155
2,1,hand right,Both,2023/04/1515:08:48.940,-0.006904749199748,-0.0032818065956234,0.0105049768462777,-0.0280750468373299,0.0628556460142136,-0.0060795061290264
2,1,hand right,Both,2023/04/1515:08:48.980,-0.0166082959622145,-0.0116453412920237,-0.0229972451925278,0.0283627230674028,0.0034150755964219,-0.0028049694374203
2,1,hand right,Both,2023/04/1515:08:49.020,-0.0115720648318529,0.0236110873520374,0.0001332219690084,-0.0378607362508774,0.0239422116428614,-0.0871269926428795
2,1,hand right,Both,2023/04/1515:08:49.060,-0.0142543176189065,-0.0065603824332356,-0.0038836270105093,-0.025785569101572,0.0525831021368504,-0.134153917431831
2,1,hand right,Both,2023/04/1515:08:49.102,-0.0088681187480688,-0.0162426941096783,-0.003368167206645,0.0247847326099873,-0.0028470531105995,-0.120047204196453
2,1,hand right,Both,2023/04/1515:08:49.142,-0.0011769882403314,-0.0025424796622246,-0.0095568094402551,-0.0094012059271335,0.0618579499423504,-0.182945996522903
2,1,hand right,Both,2023/04/1515:08:49.181,-0.010883754119277,-0.014119815081358,-0.0034851150121539,0.0400981307029724,-0.020661398768425,-0.185450226068497
2,1,hand right,Both,2023/04/1515:08:49.222,-0.0063505228608846,0.0072429389692843,0.0044434512965381,0.0089950822293758,-0.029786542057991,-0.239066034555435
2,1,hand right,Both,2023/04/1515:08:49.260,-0.0178964734077454,-0.0158113688230515,-0.0193353146314621,-0.0341822281479836,-0.0328812822699547,-0.219752848148346
2,1,hand right,Both,2023/04/1515:08:49.300,-0.001242246478796,0.012680915184319,0.0069579603150487,-0.0638034716248512,-0.0201921910047531,-0.245425969362259
2,1,hand right,Both,2023/04/1515:08:49.340,-0.0050025451928377,-0.0154594499617815,-0.0068467333912849,-0.022969800978899,0.0301581025123596,-0.296182006597519
2,1,hand right,Both,2023/04/1515:08:49.380,-0.0058476878330111,-0.0107242772355676,0.0039724153466522,0.0331770554184914,-0.0140225440263748,-0.288149833679199
2,1,hand right,Both,2023/04/1515:08:49.422,-0.0049357926473021,-0.0250620320439339,-0.0029032370075583,-0.0271564126014709,0.0070289522409439,-0.268756836652756
2,1,hand right,Both,2023/04/1515:08:49.462,-0.0077728237956762,-0.0269144624471664,-0.0284055806696415,-0.0387672670185566,-0.0218246281147003,-0.20097416639328
2,1,hand right,Both,2023/04/1515:08:49.502,-0.014458411373198,-0.03016297519207,-0.0047641722485423,-0.0835536643862724,-0.0978174358606339,-0.17244727909565
2,1,hand right,Both,2023/04/1515:08:49.543,-0.0156212048605084,-0.0126990303397179,0.0061006131581962,-0.0585617497563362,0.0059293359518051,-0.138861089944839
2,1,hand right,Both,2023/04/1515:08:49.580,-0.0335314199328423,-0.0311811752617359,-0.0207052603363991,-0.0943584889173508,-0.0846011564135552,-0.0888132154941559
2,1,hand right,Both,2023/04/1515:08:49.618,-0.0195171870291233,-0.036562867462635,0.0314900726079941,-0.050576489418745,-0.0437697060406208,0.028251439332962
2,1,hand right,Both,2023/04/1515:08:49.660,-0.0151049215346575,-0.0134702306240797,0.0158220380544662,-0.0579068399965763,0.130258977413178,0.002813883125782
2,1,hand right,Both,2023/04/1515:08:49.702,-0.0360805876553059,-0.0196464341133833,0.0042816256172955,-0.0897826850414276,0.0301721692085266,0.154312059283257
2,1,hand right,Both,2023/04/1515:08:49.742,-0.0070122648030519,0.0156440958380699,-0.0028991638682782,-0.0874878168106079,0.0714333653450012,0.113514520227909
2,1,hand right,Both,2023/04/1515:08:49.782,-0.0080501269549131,0.0374023616313934,0.0022174399346113,-0.0817012935876846,0.0570191144943237,0.078317254781723
2,1,hand right,Both,2023/04/1515:08:49.822,-0.0153121259063482,-0.0019283177098259,-0.0075801988132298,-0.0584328770637512,0.049639169126749,-2.21133232116699e-05
2,1,hand right,Both,2023/04/1515:08:49.861,-0.0016333085950464,0.0032211940269917,-0.0112335495650768,-0.0039668842218816,0.0325980857014656,-0.0085829589515924
2,1,hand right,Both,2023/04/1515:08:49.900,-0.0043472992256283,-0.0237907916307449,0.0018751677125692,-0.0689267665147781,0.0248330179601908,-0.0084958877414465
2,1,hand right,Both,2023/04/1515:08:49.940,0.0181094296276569,0.0013892343267798,0.0311291329562664,-0.0430174916982651,0.0411426201462746,0.0530289076268673
2,1,hand right,Both,2023/04/1515:08:49.981,0.0044872984290123,0.0045158131979405,0.0046325381845235,-0.108038559556007,0.0929834544658661,-0.0218096449971199
2,1,hand right,Both,2023/04/1515:08:50.020,-0.008180390112102,-0.0249231122434139,-0.0015427004545927,0.0186748653650284,0.0206787772476673,0.0045726685784757
2,1,hand right,Both,2023/04/1515:08:50.060,-0.0033908011391758,0.0049584726803004,-0.0064897844567894,-0.0688452422618866,0.0061863763257861,0.0104253990575671
2,1,hand right,Both,2023/04/1515:08:50.103,-0.0177289955317974,-0.0297447945922613,0.0021135117858648,-0.0740755945444107,0.0540818348526955,0.0729704424738884
2,1,hand right,Both,2023/04/1515:08:50.142,-0.0178508330136538,0.0155608151108027,-0.0133173847571015,0.0017252303659915,0.0239752717316151,0.0955941528081894
